geo,distance_to_water,elevation,flooded,forest_loss,landcover,rainfall
"{'type': 'Point', 'coordinates': [5.322518058408165, 10.667493998919317]}",150.0,312,0,1,40,11662.00595661685
"{'type': 'Point', 'coordinates': [7.927632382354777, 8.286958496002585]}",90.0,159,0,1,40,12515.079331327173
"{'type': 'Point', 'coordinates': [6.714906748793423, 12.059882689304576]}",84.8528137423857,466,0,0,40,10257.065069868007
"{'type': 'Point', 'coordinates': [6.220833342527686, 10.84715705574322]}",512.6402247190518,432,0,1,20,12344.863036361203
"{'type': 'Point', 'coordinates': [5.547096879438045, 12.104798453510552]}",212.13203435596427,293,0,0,40,8252.882860411042
"{'type': 'Point', 'coordinates': [7.43355897608904, 7.882716618148801]}",108.16653826391968,177,0,1,10,13637.440976371567
"{'type': 'Point', 'coordinates': [9.814094479005773, 10.128504828447605]}",182.48287590894657,566,0,0,40,10799.543868820198
"{'type': 'Point', 'coordinates': [5.726759936261949, 10.712409763125294]}",318.9043743820395,390,0,0,40,11770.632641970964
"{'type': 'Point', 'coordinates': [7.882716618148801, 8.242042731796609]}",123.69316876852982,115,0,0,40,12108.409542124251
"{'type': 'Point', 'coordinates': [9.454768365357964, 9.993757535829676]}",335.4101966249685,766,0,0,30,12485.88373244126
"{'type': 'Point', 'coordinates': [7.882716618148801, 8.646284609650394]}",152.97058540778355,237,0,1,40,13128.906935927102
"{'type': 'Point', 'coordinates': [11.251398933597006, 9.679347186387844]}",94.86832980505139,438,0,0,20,10616.43345901588
"{'type': 'Point', 'coordinates': [3.705550546993026, 11.341230462008959]}",152.97058540778355,202,0,0,40,11158.101872480198
"{'type': 'Point', 'coordinates': [3.615719018581074, 7.568306268706968]}",318.9043743820395,169,0,1,30,12871.91231857374
"{'type': 'Point', 'coordinates': [9.679347186387844, 7.792885089736849]}",201.24611797498108,149,0,0,40,12557.801956272815
"{'type': 'Point', 'coordinates': [5.7716757004679256, 8.152211203384658]}",60.0,353,0,1,10,13813.391804670131
"{'type': 'Point', 'coordinates': [5.816591464673902, 8.062379674972705]}",108.16653826391968,379,0,1,10,13930.981114488357
"{'type': 'Point', 'coordinates': [6.759822512999399, 12.194629981922503]}",94.86832980505139,452,0,0,40,10044.636606679738
"{'type': 'Point', 'coordinates': [4.109792424846811, 10.442915177889438]}",30.0,244,0,1,20,11507.376522005812
"{'type': 'Point', 'coordinates': [5.187770765790236, 7.343727447677088]}",420.0,414,0,1,10,14898.263499557972
"{'type': 'Point', 'coordinates': [3.8852136038169305, 10.84715705574322]}",247.38633753705963,273,0,0,20,11876.328715900918
"{'type': 'Point', 'coordinates': [5.277602294202189, 10.712409763125294]}",182.48287590894657,252,0,0,40,11704.22338628972
"{'type': 'Point', 'coordinates': [7.927632382354777, 5.3674338226141405]}",67.0820393249937,50,0,0,10,25232.968314126134
"{'type': 'Point', 'coordinates': [7.298811683471112, 9.275105308534059]}",30.0,507,0,1,40,14356.717775162959
"{'type': 'Point', 'coordinates': [6.894569805617327, 10.532746706301388]}",228.47319317591726,589,0,1,20,12510.181957992376
"{'type': 'Point', 'coordinates': [11.565809283038838, 7.8378008539428246]}",563.6488268416781,321,0,0,10,18316.555150456086
"{'type': 'Point', 'coordinates': [5.95133875729183, 7.927632382354777]}",234.30749027719963,415,0,1,10,13807.426881567138
"{'type': 'Point', 'coordinates': [3.4360559617571695, 8.511537317032467]}",134.1640786499874,347,0,1,20,11583.166415215288
"{'type': 'Point', 'coordinates': [7.972548146560753, 9.364936836946011]}",134.1640786499874,662,0,0,40,15507.851560241561
"{'type': 'Point', 'coordinates': [5.592012643644021, 10.353083649477485]}",152.97058540778355,326,0,1,40,12499.198851723831
"{'type': 'Point', 'coordinates': [6.5352436919695185, 8.062379674972705]}",108.16653826391968,138,0,1,20,12040.384804384743
"{'type': 'Point', 'coordinates': [10.487830942095414, 9.814094479005773]}",540.0,316,0,0,30,9583.989236795896
"{'type': 'Point', 'coordinates': [5.861507228879877, 6.6699909845874465]}",502.8916384272063,242,0,0,10,17317.064512876677
"{'type': 'Point', 'coordinates': [4.4691185384946195, 9.320021072740035]}",90.0,167,0,1,20,11609.015178329837
"{'type': 'Point', 'coordinates': [5.3674338226141405, 10.218336356859556]}",120.0,338,0,1,40,12064.520548728358
"{'type': 'Point', 'coordinates': [7.568306268706968, 12.91328220921812]}",67.0820393249937,536,0,0,40,7358.26438494892
"{'type': 'Point', 'coordinates': [6.355580635145614, 11.431061990420911]}",408.0441152620633,503,0,0,40,10452.398511882724
"{'type': 'Point', 'coordinates': [8.736116138062346, 5.412349586820117]}",371.0795063055894,165,0,0,10,28828.5106353648
"{'type': 'Point', 'coordinates': [7.253895919265136, 10.98190434836115]}",94.86832980505139,646,0,0,40,10792.893042871321
"{'type': 'Point', 'coordinates': [8.331874260208561, 8.421705788620514]}",42.42640687119285,148,0,0,40,13451.589639155784
"{'type': 'Point', 'coordinates': [7.882716618148801, 6.714906748793423]}",258.0697580112788,126,0,0,10,15560.608875568721
"{'type': 'Point', 'coordinates': [3.8852136038169305, 7.882716618148801]}",189.73665961010278,262,0,1,40,11616.762302860152
"{'type': 'Point', 'coordinates': [10.218336356859556, 9.140358015916132]}",300.0,237,0,0,30,10046.16217247257
"{'type': 'Point', 'coordinates': [6.8047382772053755, 7.972548146560753]}",30.0,42,1,1,10,12735.749629418831
"{'type': 'Point', 'coordinates': [5.232686529996212, 6.849654041411351]}",566.0388679233962,153,0,0,10,17991.119634555653
"{'type': 'Point', 'coordinates': [8.91577919488625, 9.050526487504179]}",212.13203435596427,755,0,1,10,13190.872980293294
"{'type': 'Point', 'coordinates': [4.154708189052787, 9.050526487504179]}",210.0,432,0,0,20,11095.974908571108
"{'type': 'Point', 'coordinates': [12.194629981922503, 9.005610723298203]}",258.0697580112788,300,0,0,40,11071.6433404231
"{'type': 'Point', 'coordinates': [8.91577919488625, 7.20898015505916]}",216.33307652783935,143,0,0,40,12734.550477100602
"{'type': 'Point', 'coordinates': [10.218336356859556, 10.308167885271509]}",247.38633753705963,457,0,0,40,9587.375384576964
"{'type': 'Point', 'coordinates': [9.49968412956394, 6.625075220381471]}",189.73665961010278,432,0,1,10,22825.296678711027
"{'type': 'Point', 'coordinates': [11.026820112567126, 11.251398933597006]}",384.1874542459709,467,0,0,40,8419.13665195553
"{'type': 'Point', 'coordinates': [6.086086049909758, 10.083589064241629]}",134.1640786499874,248,0,0,40,11408.915426176507
"{'type': 'Point', 'coordinates': [13.092945266042026, 10.84715705574322]}",577.0615218501403,451,0,0,30,10312.244794072936
"{'type': 'Point', 'coordinates': [3.4360559617571695, 8.69120037385637]}",60.0,406,0,0,20,11356.382157827658
"{'type': 'Point', 'coordinates': [5.681844172055973, 10.038673300035653]}",318.9043743820395,169,0,1,40,12816.971532380576
"{'type': 'Point', 'coordinates': [14.0810920785735, 12.194629981922503]}",371.0795063055894,290,0,0,30,7064.531774653296
"{'type': 'Point', 'coordinates': [12.059882689304576, 10.442915177889438]}",67.0820393249937,563,0,0,30,11888.688827335933
"{'type': 'Point', 'coordinates': [9.49968412956394, 7.20898015505916]}",90.0,192,0,0,40,16071.30153266294
"{'type': 'Point', 'coordinates': [6.894569805617327, 9.634431422181867]}",120.0,416,0,0,40,13661.657915411926
"{'type': 'Point', 'coordinates': [9.185273780122108, 7.747969325530873]}",108.16653826391968,173,0,1,40,12075.156544878677
"{'type': 'Point', 'coordinates': [4.963191944760356, 7.074232862441232]}",590.9314681077662,221,0,1,10,16633.663926659152
"{'type': 'Point', 'coordinates': [4.244539717464739, 11.116651640979079]}",42.42640687119285,237,0,1,40,10586.69711399906
"{'type': 'Point', 'coordinates': [9.993757535829676, 8.556453081238441]}",94.86832980505139,143,0,0,40,11102.808591143359
"{'type': 'Point', 'coordinates': [5.502181115232069, 10.442915177889438]}",94.86832980505139,355,0,0,40,12493.04156976156
"{'type': 'Point', 'coordinates': [5.547096879438045, 5.861507228879877]}",30.0,12,0,0,95,24557.352405443788
"{'type': 'Point', 'coordinates': [3.9301293680229064, 10.128504828447605]}",268.3281572999748,294,0,0,30,12170.738041507691
"{'type': 'Point', 'coordinates': [8.69120037385637, 11.20648316939103]}",108.16653826391968,582,0,0,20,10304.685184601658
"{'type': 'Point', 'coordinates': [11.251398933597006, 10.263252121065532]}",152.97058540778355,391,0,0,40,8985.826202297132
"{'type': 'Point', 'coordinates': [5.097939237378284, 7.8378008539428246]}",108.16653826391968,516,0,1,10,14969.000754453678
"{'type': 'Point', 'coordinates': [7.613222032912945, 4.6038658311125475]}",60.0,12,0,1,10,28603.600714650936
"{'type': 'Point', 'coordinates': [13.542102908101786, 10.667493998919317]}",391.15214431215895,656,0,1,40,10294.244779404584
"{'type': 'Point', 'coordinates': [5.097939237378284, 11.116651640979079]}",123.69316876852982,293,0,0,40,11247.181083069121
"{'type': 'Point', 'coordinates': [9.230189544328082, 10.712409763125294]}",456.9463863518345,608,0,1,20,13239.334349929286
"{'type': 'Point', 'coordinates': [9.9488417716237, 8.286958496002585]}",0.0,104,1,1,10,10424.059340341708
"{'type': 'Point', 'coordinates': [4.334371245876691, 11.296314697802982]}",60.0,156,0,0,40,10336.643724460831
"{'type': 'Point', 'coordinates': [7.298811683471112, 9.49968412956394]}",152.97058540778355,530,0,0,40,14727.515666948539
"{'type': 'Point', 'coordinates': [5.097939237378284, 11.925135396686647]}",174.92855684535903,286,0,1,20,8778.686648040793
"{'type': 'Point', 'coordinates': [10.218336356859556, 9.769178714799796]}",483.73546489791295,394,0,1,20,11041.235807796184
"{'type': 'Point', 'coordinates': [7.164064390853183, 11.386146226214935]}",30.0,701,0,0,40,10161.928568647294
"{'type': 'Point', 'coordinates': [6.265749106733662, 8.736116138062346]}",0.0,53,1,0,30,12048.286461941207
"{'type': 'Point', 'coordinates': [3.705550546993026, 6.984401334029279]}",240.0,112,0,1,10,14758.67129336344
"{'type': 'Point', 'coordinates': [5.726759936261949, 11.341230462008959]}",305.9411708155671,444,0,0,40,10810.49976944332
"{'type': 'Point', 'coordinates': [4.828444652142428, 9.993757535829676]}",123.69316876852982,271,0,0,40,11625.982966133328
"{'type': 'Point', 'coordinates': [13.991260550161547, 11.88021963248067]}",465.72524088780074,299,0,0,30,6596.392547071435
"{'type': 'Point', 'coordinates': [4.424202774288643, 7.927632382354777]}",90.0,395,0,1,10,14049.780292264244
"{'type': 'Point', 'coordinates': [7.074232862441232, 8.062379674972705]}",94.86832980505139,214,0,0,10,12131.668178328004
"{'type': 'Point', 'coordinates': [3.750466311199002, 8.331874260208561]}",60.0,320,0,0,10,13400.914736187038
"{'type': 'Point', 'coordinates': [5.142855001584261, 9.275105308534059]}",84.8528137423857,158,0,0,40,11080.599734190673
"{'type': 'Point', 'coordinates': [4.244539717464739, 6.490327927763542]}",42.42640687119285,15,0,1,10,18204.69758850502
"{'type': 'Point', 'coordinates': [4.783528887936452, 8.421705788620514]}",123.69316876852982,375,0,1,20,13668.720510283216
"{'type': 'Point', 'coordinates': [7.747969325530873, 4.783528887936452]}",108.16653826391968,40,0,1,10,25612.233670869842
"{'type': 'Point', 'coordinates': [10.622578234713341, 9.409852601151988]}",308.86890422961005,217,0,0,40,9807.7184067575
"{'type': 'Point', 'coordinates': [5.861507228879877, 6.5352436919695185]}",417.85164831552356,131,0,1,10,17990.989336252213
"{'type': 'Point', 'coordinates': [10.173420592653581, 10.038673300035653]}",318.9043743820395,572,0,1,20,10565.428136642673
"{'type': 'Point', 'coordinates': [8.46662155282649, 8.46662155282649]}",108.16653826391968,166,0,0,40,13755.460551444587
"{'type': 'Point', 'coordinates': [4.828444652142428, 6.939485569823304]}",469.5742752749559,218,0,1,10,17605.16841546446
"{'type': 'Point', 'coordinates': [9.49968412956394, 7.343727447677088]}",94.86832980505139,157,0,0,40,14963.523258423375
"{'type': 'Point', 'coordinates': [5.547096879438045, 5.7716757004679256]}",0.0,7,0,0,95,25943.75676059723
"{'type': 'Point', 'coordinates': [10.353083649477485, 6.939485569823304]}",210.0,863,0,0,10,25585.63429075587
"{'type': 'Point', 'coordinates': [7.298811683471112, 9.364936836946011]}",67.0820393249937,528,0,1,40,14362.211332273755
"{'type': 'Point', 'coordinates': [9.544599893769915, 8.870863430680274]}",0.0,199,0,0,40,12009.218460691773
"{'type': 'Point', 'coordinates': [9.230189544328082, 9.634431422181867]}",161.55494421403512,1002,0,0,20,11952.633888362732
"{'type': 'Point', 'coordinates': [12.059882689304576, 11.026820112567126]}",331.36083051561786,545,0,0,30,9363.319210269416
"{'type': 'Point', 'coordinates': [4.019960896434859, 10.442915177889438]}",67.0820393249937,263,0,1,20,11935.427444539264
"{'type': 'Point', 'coordinates': [6.759822512999399, 8.197126967590634]}",30.0,107,0,1,10,11950.984442166728
"{'type': 'Point', 'coordinates': [3.2114771407272893, 8.646284609650394]}",94.86832980505139,382,0,0,20,11907.947960303172
"{'type': 'Point', 'coordinates': [4.963191944760356, 12.059882689304576]}",60.0,238,0,1,40,8281.518858938778
"{'type': 'Point', 'coordinates': [12.509040331364336, 11.520893518832862]}",494.77267507411926,384,0,0,30,8611.42694200814
"{'type': 'Point', 'coordinates': [12.0149669250986, 9.993757535829676]}",150.0,206,0,0,40,9412.189169162419
"{'type': 'Point', 'coordinates': [8.286958496002585, 5.681844172055973]}",180.0,149,0,0,10,25488.901784632355
"{'type': 'Point', 'coordinates': [6.5352436919695185, 12.059882689304576]}",84.8528137423857,479,0,0,40,10066.422570015067
"{'type': 'Point', 'coordinates': [12.104798453510552, 8.152211203384658]}",469.5742752749559,497,0,0,40,13782.825604837954
"{'type': 'Point', 'coordinates': [3.256392904933265, 6.849654041411351]}",212.13203435596427,20,0,1,10,15523.381763028308
"{'type': 'Point', 'coordinates': [10.397999413683461, 8.601368845444417]}",42.42640687119285,110,0,0,40,10927.05937114167
"{'type': 'Point', 'coordinates': [5.547096879438045, 6.086086049909758]}",67.0820393249937,28,0,0,10,22407.18686727062
"{'type': 'Point', 'coordinates': [6.984401334029279, 12.553956095570312]}",240.0,429,0,0,40,8091.634986879254
"{'type': 'Point', 'coordinates': [5.861507228879877, 9.005610723298203]}",30.0,98,0,0,40,11534.723784740589
"{'type': 'Point', 'coordinates': [8.69120037385637, 10.577662470507365]}",192.09372712298546,799,0,0,40,13488.207978277467
"{'type': 'Point', 'coordinates': [7.074232862441232, 7.388643211883064]}",240.0,321,0,0,10,13268.284579507075
"{'type': 'Point', 'coordinates': [2.8521510270794805, 6.714906748793423]}",180.0,69,0,1,10,14088.848722172072
"{'type': 'Point', 'coordinates': [11.79038810406872, 10.128504828447605]}",192.09372712298546,221,0,0,20,9454.56187475333
"{'type': 'Point', 'coordinates': [11.475977754626888, 8.870863430680274]}",284.60498941515414,277,0,0,40,12235.236594744889
"{'type': 'Point', 'coordinates': [6.580159456175495, 10.802241291537246]}",318.9043743820395,487,0,0,20,12571.558476356935
"{'type': 'Point', 'coordinates': [9.9488417716237, 8.062379674972705]}",60.0,150,0,0,20,11285.232342358335
"{'type': 'Point', 'coordinates': [7.20898015505916, 9.050526487504179]}",120.0,337,0,1,40,13480.286087665989
"{'type': 'Point', 'coordinates': [5.187770765790236, 10.936988584155173]}",108.16653826391968,319,0,0,40,11584.959641442758
"{'type': 'Point', 'coordinates': [6.625075220381471, 9.903926007417724]}",42.42640687119285,248,0,0,40,11769.067556943883
"{'type': 'Point', 'coordinates': [6.625075220381471, 8.69120037385637]}",134.1640786499874,149,0,1,20,11869.465605117337
"{'type': 'Point', 'coordinates': [6.759822512999399, 5.681844172055973]}",30.0,22,0,1,10,23715.617083351128
"{'type': 'Point', 'coordinates': [7.478474740295016, 10.173420592653581]}",90.0,562,0,1,20,13102.719255618053
"{'type': 'Point', 'coordinates': [8.601368845444417, 8.062379674972705]}",189.73665961010278,152,0,0,20,12692.861340742324
"{'type': 'Point', 'coordinates': [5.816591464673902, 10.263252121065532]}",313.20919526731655,272,0,0,40,11912.187323011563
"{'type': 'Point', 'coordinates': [3.3462244333452174, 7.119148626647208]}",108.16653826391968,79,0,1,50,11894.898846952477
"{'type': 'Point', 'coordinates': [10.667493998919317, 8.511537317032467]}",120.0,188,0,0,40,12507.022681405815
"{'type': 'Point', 'coordinates': [3.570803254375098, 9.903926007417724]}",530.7541803886239,339,0,0,20,13332.159848735853
"{'type': 'Point', 'coordinates': [4.379287010082667, 7.747969325530873]}",150.0,293,0,1,10,13665.55573035346
"{'type': 'Point', 'coordinates': [7.119148626647208, 7.568306268706968]}",216.33307652783935,349,0,1,10,13505.903599314013
"{'type': 'Point', 'coordinates': [8.242042731796609, 6.17591757832171]}",67.0820393249937,53,0,0,40,19646.253906860948
"{'type': 'Point', 'coordinates': [8.601368845444417, 9.230189544328082]}",127.27922061357854,575,0,1,30,13257.603760429693
"{'type': 'Point', 'coordinates': [11.520893518832862, 11.071735876773102]}",240.0,321,0,0,40,7859.711167684807
"{'type': 'Point', 'coordinates': [8.556453081238441, 9.634431422181867]}",108.16653826391968,924,0,0,40,13771.835914728967
"{'type': 'Point', 'coordinates': [9.679347186387844, 8.017463910766729]}",90.0,148,0,0,20,10805.546869248665
"{'type': 'Point', 'coordinates': [3.5258874901691217, 8.870863430680274]}",169.7056274847714,415,0,0,20,12103.423667539671
"{'type': 'Point', 'coordinates': [4.424202774288643, 9.230189544328082]}",134.1640786499874,226,0,1,20,11011.435590080766
"{'type': 'Point', 'coordinates': [11.970051160892623, 8.511537317032467]}",510.8815909777921,507,0,0,40,13666.512286097019
"{'type': 'Point', 'coordinates': [7.253895919265136, 5.95133875729183]}",335.4101966249685,156,0,1,10,19221.723998364294
"{'type': 'Point', 'coordinates': [5.053023473172308, 5.861507228879877]}",30.0,6,0,1,95,23765.89673722908
"{'type': 'Point', 'coordinates': [10.892072819949197, 7.164064390853183]}",210.0,709,0,1,10,22832.493022704788
"{'type': 'Point', 'coordinates': [11.296314697802982, 10.712409763125294]}",150.0,450,0,1,40,8612.30545435392
"{'type': 'Point', 'coordinates': [9.544599893769915, 9.769178714799796]}",390.0,674,0,0,30,11770.09723771561
"{'type': 'Point', 'coordinates': [4.91827618055438, 9.993757535829676]}",182.48287590894657,276,0,0,40,11777.486169698976
"{'type': 'Point', 'coordinates': [3.3911401975511937, 7.613222032912945]}",234.30749027719963,152,0,1,20,12143.67402021034
"{'type': 'Point', 'coordinates': [3.615719018581074, 7.747969325530873]}",284.60498941515414,203,0,1,20,12458.270833514547
"{'type': 'Point', 'coordinates': [10.75732552733127, 9.454768365357964]}",300.0,536,0,1,20,10194.905819545587
"{'type': 'Point', 'coordinates': [9.050526487504179, 10.353083649477485]}",305.9411708155671,840,0,1,40,13453.97282542754
"{'type': 'Point', 'coordinates': [14.036176314367523, 11.79038810406872]}",483.73546489791295,300,0,0,30,7327.2546913715605
"{'type': 'Point', 'coordinates': [9.993757535829676, 7.343727447677088]}",150.0,260,0,0,20,18750.48512904544
"{'type': 'Point', 'coordinates': [5.097939237378284, 8.960694959092226]}",84.8528137423857,212,0,0,40,10926.983292133347
"{'type': 'Point', 'coordinates': [6.714906748793423, 8.556453081238441]}",150.0,197,0,1,10,12329.290025853164
"{'type': 'Point', 'coordinates': [7.972548146560753, 5.7716757004679256]}",0.0,18,0,1,10,20823.976654998405
"{'type': 'Point', 'coordinates': [5.053023473172308, 9.140358015916132]}",30.0,77,1,0,10,12018.588937077438
"{'type': 'Point', 'coordinates': [9.859010243211747, 11.161567405185055]}",67.0820393249937,494,0,0,40,9622.546975721116
"{'type': 'Point', 'coordinates': [10.802241291537246, 10.84715705574322]}",469.5742752749559,433,0,0,20,9644.395706411058
"{'type': 'Point', 'coordinates': [3.705550546993026, 7.164064390853183]}",305.9411708155671,112,0,1,10,13894.47235105119
"{'type': 'Point', 'coordinates': [8.646284609650394, 7.478474740295016]}",161.55494421403512,194,0,0,40,12242.7386001423
"{'type': 'Point', 'coordinates': [4.244539717464739, 8.152211203384658]}",30.0,338,0,0,50,12102.118799547567
"{'type': 'Point', 'coordinates': [4.963191944760356, 10.667493998919317]}",90.0,210,0,0,20,11755.825261196504
"{'type': 'Point', 'coordinates': [5.053023473172308, 5.95133875729183]}",30.0,4,0,1,10,23115.401272732764
"{'type': 'Point', 'coordinates': [5.996254521497805, 7.927632382354777]}",258.0697580112788,471,0,1,20,13807.426881567138
"{'type': 'Point', 'coordinates': [10.936988584155173, 11.745472339862744]}",182.48287590894657,416,0,0,40,7710.427926278852
"{'type': 'Point', 'coordinates': [10.802241291537246, 7.388643211883064]}",192.09372712298546,737,0,1,10,22765.589269482763
